,x
1,5.108574778
2,7.028256889
3,2.316546125
4,4.4880971
5,5.13373498
6,5.25648703
7,5.240720086
8,6.101180482
9,4.494796033
10,6.823163267
11,5.815337602
12,7.678650295
13,4.128635765
14,5.278638555
15,4.787712251
16,4.813961267
17,4.535459289
18,5.470196559
19,4.669960264
20,4.803206987
21,6.452855886
22,4.097934809
23,6.120554397
24,4.609831901
25,4.587340472
26,5.871761543
27,6.155366653
28,5.265296966
29,6.527858811
30,4.983157838
31,6.105165911
32,4.579307481
33,4.738509034
34,5.226669678
35,4.59927475
36,4.344207095
37,5.785815521
38,4.54031148
39,3.703545291
40,6.88139478
41,2.930074068
42,5.445742987
43,5.659552793
44,3.732427746
45,3.941809182
46,5.676437316
47,5.557606511
48,6.24594801
49,3.813926983
50,4.832493933
51,4.644221517
52,5.478648965
53,4.80520723
54,3.742895777
55,6.00959278
56,5.902798944
57,5.604201493
58,5.405233333
59,6.265749978
60,3.196729693
61,5.049530658
62,6.167801265
63,3.771786493
64,5.525558367
65,5.751184037
66,5.248757089
67,4.326762831
68,4.837708605
69,7.244615239
70,5.835880138
71,4.16188297
72,5.949140582
73,4.671083401
74,4.62042285
75,6.234408073
76,4.803062259
77,6.356526661
78,5.648979648
79,4.135355683
80,3.178587729
81,4.330052557
82,4.681203101
83,4.468179198
84,4.249421962
85,4.713062292
86,4.435025528
87,5.295101334
88,5.900341101
89,6.080322801
90,6.308335488
91,6.204682638
92,4.010387886
93,6.993087949
94,4.238877702
95,5.884042985
96,6.748965122
97,5.479635962
98,4.268111137
99,4.758090853
100,6.314643694
