Doc1,Doc2,Doc3,Doc4,Doc5
1,1,0,1,1
1,1,0,0,0
1,0,1,1,1
1,0,1,1,1
0,1,0,0,1
1,1,1,0,1
1,0,1,1,1
1,1,1,0,1
1,1,1,1,1
1,1,0,0,0
0,0,1,0,1
1,1,1,1,0
1,1,1,0,1
1,1,0,1,1
0,1,0,0,1
1,0,0,0,1
1,0,1,0,1
1,0,1,1,1
0,0,0,1,1
1,0,0,0,1
1,0,1,0,0
1,1,1,0,1
0,0,0,1,1
1,1,0,1,1
1,0,1,1,1
1,0,1,0,1
0,0,1,0,1
0,1,1,1,1
1,1,1,1,1
1,0,1,0,0
1,1,NA,0,NA
0,0,NA,1,NA
1,1,NA,0,NA
1,1,NA,0,NA
1,1,NA,0,NA
1,1,NA,0,NA
1,1,NA,0,NA
1,1,NA,0,NA
1,1,NA,1,NA
1,0,NA,1,NA
1,NA,NA,1,NA
0,NA,NA,1,NA
1,NA,NA,1,NA
1,NA,NA,1,NA
1,NA,NA,1,NA
0,NA,NA,1,NA
1,NA,NA,0,NA
1,NA,NA,1,NA
1,NA,NA,0,NA
1,NA,NA,1,NA
